STRK,YES_C,NO_C
00100,44,64
00101,92,16
00102,106,2
00110,96,14
00111,108,0
00112,106,3
00200,39,71
00201,79,32
00202,97,11
00210,93,14
00211,107,2
00212,108,1
00300,50,59
00301,87,23
00302,105,4
00310,98,11
00311,108,0
00312,107,1
01100,37,71
01101,85,24
01102,106,2
01110,95,14
01111,108,2
01112,107,2
01200,41,68
01201,74,36
01202,95,15
01210,85,24
01211,108,2
01212,107,1
01300,44,65
01301,82,28
01302,106,2
01310,91,16
01311,108,2
01312,108,1
10100,38,70
10101,81,29
10102,105,5
10110,94,15
10111,107,2
10112,106,3
10200,40,68
10201,67,42
10202,95,13
10210,92,17
10211,107,2
10212,107,2
10300,37,72
10301,80,29
10302,103,5
10310,89,18
10311,109,0
10312,108,1
11100,39,69
11101,66,41
11102,101,8
11110,87,23
11111,106,5
11112,105,4
11200,37,72
11201,63,47
11202,87,21
11210,76,35
11211,106,3
11212,104,4
11300,36,73
11301,71,37
11302,101,10
11310,87,20
11311,107,1
11312,96,3
